provincia,cnae,tramo_asalariados,n_empresas
Sevilla,62,Total,1298
Sevilla,62,Sin asalariados,732
Sevilla,62,De 1 a 2 asalariados,223
Sevilla,62,De 3 a 5 asalariados,113
Sevilla,62,De 6 a 9 asalariados,63
Sevilla,62,De 10 a 19 asalariados,59
Sevilla,62,De 20 a 49 asalariados,57
Sevilla,62,De 50 a 99 asalariados,21
Sevilla,62,De 100 o más asalariados,30
Málaga,62,Total,2195
Málaga,62,Sin asalariados,1527
Málaga,62,De 1 a 2 asalariados,380
Málaga,62,De 3 a 5 asalariados,82
Málaga,62,De 6 a 9 asalariados,58
Málaga,62,De 10 a 19 asalariados,71
Málaga,62,De 20 a 49 asalariados,44
Málaga,62,De 50 a 99 asalariados,20
Málaga,62,De 100 o más asalariados,13
Huelva,62,Total,111
Huelva,62,Sin asalariados,67
Huelva,62,De 1 a 2 asalariados,23
Huelva,62,De 3 a 5 asalariados,8
Huelva,62,De 6 a 9 asalariados,7
Huelva,62,De 10 a 19 asalariados,3
Huelva,62,De 20 a 49 asalariados,3
Huelva,62,De 50 a 99 asalariados,0
Huelva,62,De 100 o más asalariados,0
